iso3,country,disaggregation,disagg.value,region,subregion,section,under_5_stunting_track,anaemia_track,lbw_track,under_5_overweight_track,ebf_track,under_5_wasting_track,sodium_track,rbp_female_track,rbp_male_track,adult_fem_obesity_track,adult_mal_obesity_track,adult_fem_diabetes_track,adult_mal_diabetes_track
AFG,Afghanistan,all,,Asia,Southern Asia,The burden of malnutrition at a glance,Some progress,No progress or worsening,No data,On course,On course,Some progress,Off course,Off course,Off course,Off course,Off course,Off course,Off course
ALB,Albania,all,,Europe,Southern Europe,The burden of malnutrition at a glance,On course,No progress or worsening,On course,On course,No progress or worsening,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
DZA,Algeria,all,,Africa,Northern Africa,The burden of malnutrition at a glance,Some progress,No progress or worsening,No progress or worsening,On course,No progress or worsening,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
AND,Andorra,all,,Europe,Southern Europe,The burden of malnutrition at a glance,No data,No progress or worsening,No progress or worsening,No data,No data,No data,No data,On course,On course,Off course,Off course,On course,Off course
AGO,Angola,all,,Africa,Middle Africa,The burden of malnutrition at a glance,No progress or worsening,No progress or worsening,Some progress,Off course,No data,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
ATG,Antigua and Barbuda,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,No data,No progress or worsening,No progress or worsening,No data,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
ARG,Argentina,all,,Latin America and the Caribbean,South America,The burden of malnutrition at a glance,No progress or worsening,Some progress,No progress or worsening,On course,No data,On course,Off course,On course,Off course,Off course,Off course,Off course,Off course
ARM,Armenia,all,,Asia,Western Asia,The burden of malnutrition at a glance,On course,No progress or worsening,No progress or worsening,On course,On course,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
AUS,Australia,all,,Oceania,Australia and New Zealand,The burden of malnutrition at a glance,On course,No progress or worsening,No progress or worsening,Off course,No data,No data,Off course,On course,On course,Off course,Off course,On course,On course
AUT,Austria,all,,Europe,Western Europe,The burden of malnutrition at a glance,No data,No progress or worsening,Some progress,No data,No data,No data,Off course,On course,On course,Off course,Off course,On course,Off course
AZE,Azerbaijan,all,,Asia,Western Asia,The burden of malnutrition at a glance,Some progress,No progress or worsening,No progress or worsening,On course,No data,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
BHS,Bahamas,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,No data,No progress or worsening,No progress or worsening,No data,No data,No data,Off course,On course,Off course,Off course,Off course,Off course,Off course
BHR,Bahrain,all,,Asia,Western Asia,The burden of malnutrition at a glance,Some progress,No progress or worsening,No progress or worsening,Off course,No data,No data,Off course,On course,Off course,Off course,Off course,Off course,Off course
BGD,Bangladesh,all,,Asia,Southern Asia,The burden of malnutrition at a glance,Some progress,No progress or worsening,Some progress,Off course,Some progress,Some progress,Off course,Off course,Off course,Off course,Off course,Off course,Off course
BRB,Barbados,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,Some progress,No progress or worsening,No data,On course,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
BLR,Belarus,all,,Europe,Eastern Europe,The burden of malnutrition at a glance,On course,No progress or worsening,No progress or worsening,On course,No progress or worsening,No data,Off course,On course,Off course,Off course,Off course,Off course,Off course
BEL,Belgium,all,,Europe,Western Europe,The burden of malnutrition at a glance,On course,No progress or worsening,No progress or worsening,Off course,No data,No data,Off course,On course,Off course,Off course,Off course,On course,Off course
BLZ,Belize,all,,Latin America and the Caribbean,Central America,The burden of malnutrition at a glance,Some progress,No progress or worsening,No progress or worsening,On course,On course,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
BEN,Benin,all,,Africa,Western Africa,The burden of malnutrition at a glance,Some progress,No progress or worsening,Some progress,Off course,Some progress,No progress or worsening,Off course,Off course,Off course,Off course,Off course,Off course,Off course
BTN,Bhutan,all,,Asia,Southern Asia,The burden of malnutrition at a glance,On course,No progress or worsening,Some progress,On course,Some progress,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
BOL,Bolivia (Plurinational State of),all,,Latin America and the Caribbean,South America,The burden of malnutrition at a glance,On course,Some progress,No progress or worsening,On course,No progress or worsening,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
BIH,Bosnia and Herzegovina,all,,Europe,Southern Europe,The burden of malnutrition at a glance,No progress or worsening,No progress or worsening,On Course,On course,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
BWA,Botswana,all,,Africa,Southern Africa,The burden of malnutrition at a glance,Some progress,No progress or worsening,Some progress,On course,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
BRA,Brazil,all,,Latin America and the Caribbean,South America,The burden of malnutrition at a glance,No progress or worsening,Some progress,No progress or worsening,On course,No data,No data,Off course,On course,Off course,Off course,Off course,Off course,Off course
BRN,Brunei Darussalam,all,,Asia,South-eastern Asia,The burden of malnutrition at a glance,On course,No progress or worsening,On Course,On course,No data,No data,Off course,Off course,Off course,Off course,Off course,On course,Off course
BGR,Bulgaria,all,,Europe,Eastern Europe,The burden of malnutrition at a glance,Some progress,No progress or worsening,No progress or worsening,On course,No data,No data,Off course,Off course,Off course,Off course,Off course,Off course,Off course
BFA,Burkina Faso,all,,Africa,Western Africa,The burden of malnutrition at a glance,Some progress,No progress or worsening,Some progress,Off course,On course,Some progress,Off course,Off course,Off course,Off course,Off course,Off course,Off course
BDI,Burundi,all,,Africa,Eastern Africa,The burden of malnutrition at a glance,No progress or worsening,No progress or worsening,Some progress,Off course,On course,On course,Off course,Off course,Off course,Off course,Off course,Off course,Off course
CIV,CÃ´te dâ€™Ivoire,all,,Africa,Western Africa,The burden of malnutrition at a glance,On course,No progress or worsening,Some progress,Off course,On course,Some progress,Off course,Off course,Off course,Off course,Off course,Off course,Off course
